id,Multigrain,Italian,Parmesan-Oregano,Honey-Oat,Roasted-Garlic,Flatbread,Patty,Chicken-Kofta,Chicken-Slices,Chicken-Teriyaki,Salami,Tuna,Turkey,Kebab,Cheese,No-cheese,Sweet-Onion,Mustard,Mayo,BBQ
359,-9.977729949,-8.996487728,49.14996378,-5.24426654,-20.69733518,-4.234144377,2.603853172,-1.440601886,-10.72473315,12.19571512,8.992124427,-38.59354128,13.05516364,13.91201996,23.48935473,-23.48935473,-39.27164611,-32.20165521,59.91038092,11.5629204
9,-3.389778444,-34.03824276,23.43707549,16.96796743,-15.43026733,12.45324561,3.9834676,32.47375966,52.09929586,-12.80355056,-11.62559054,-13.29933139,-6.845756461,-43.98229417,10.14062194,-10.14062194,-3.781447232,2.342820778,-17.97075531,19.40938177
657,13.38094445,-35.29577522,23.01951867,9.105337618,-16.3462715,6.136245985,23.02221429,1.974610692,-6.49292111,-22.44177238,2.910863695,5.371319414,-11.24247249,6.898157888,65.63489227,-65.63489227,-19.14278375,-46.86342412,24.30266219,41.70354568
649,-15.53463251,-47.01845763,50.94175055,2.515105285,3.356399902,5.739834409,10.01720744,8.006442425,-25.67713294,7.813501849,8.210516572,3.390509855,-4.148109737,-7.612935468,21.61546605,-21.61546605,1.892505748,-40.99289481,31.41468469,7.685704369
655,-1.973675747,-1.430091723,25.96905231,22.12048127,-7.392646528,-37.29311958,3.688055732,12.10075018,-0.754629711,8.040676619,8.901833958,-26.90423404,15.76560228,-20.83805503,14.83892096,-14.83892096,17.21478865,-73.67772262,60.15412321,-3.691189239
658,8.748620273,-25.23683895,42.76963465,13.14380574,5.29141682,-44.71663853,-0.856830916,3.100116639,-8.855836809,-1.597672517,4.805640678,-7.347715182,8.845300606,1.906997501,6.325321612,-6.325321612,3.910973834,-39.93302745,57.19501031,-21.1729567
68,21.69117724,-32.84905858,-1.707696078,13.75908518,2.052360427,-2.945868191,36.68164352,20.53876934,16.62281452,-14.05482181,-38.55189229,8.300844448,7.913430395,-37.45078812,7.658064924,-7.658064924,-21.98708471,-42.86440178,71.92549032,-7.07400383
690,0.277314235,-17.20931387,2.555655025,17.27218579,-6.653955737,3.758114558,0.800970687,11.95313363,10.46628045,-11.16719896,-20.30377764,12.12105991,19.81741821,-23.6878863,-25.82473334,25.82473334,-15.50573731,-57.45541223,44.59636176,28.36478779
314,15.99755965,-28.56426963,29.3467792,36.50697405,-42.62713825,-10.65990502,-6.000531214,-13.10599504,-19.71242317,3.573460956,-11.73292565,7.454841508,1.162797362,38.36077525,76.25288723,-76.25288723,-3.371879771,-54.37186822,58.43953725,-0.695789261
383,-22.95618789,-28.3697192,-2.293355367,50.53103726,-9.064468859,12.15269406,-43.18625297,-11.46711267,14.61451392,35.62395961,15.41829101,-8.475538821,8.839240533,-11.36710061,25.86461392,-25.86461392,31.46659249,-35.52839891,-1.599801101,5.661607526
29,-10.27031497,-38.19557588,5.305595099,27.79571813,7.262924568,8.101653055,-18.93225488,-8.690768261,27.39783643,-9.935605819,12.27082893,-21.00960576,27.04498822,-8.14541885,24.31532049,-24.31532049,-25.25750412,-4.58315975,25.43481179,4.405852086
683,32.31389507,-29.1408051,10.84067353,32.53542244,-12.99327356,-33.55591238,19.68925184,-10.366439,-10.39128519,-0.112282615,34.63603021,-3.505362584,-18.91772749,-11.03218517,4.190844753,-4.190844753,-41.41856949,-42.74514936,26.3033759,57.86034294
89,4.62899935,-21.57042101,34.28049108,26.51328533,-20.48333156,-23.36902319,-23.70017574,4.565820613,-7.909027451,-9.106815578,-6.177541383,33.43796118,39.64609888,-30.75632053,-49.85023492,49.85023492,-13.85730647,-37.49713278,13.70422317,37.65021608
289,15.2986995,-24.76976,-8.865767384,43.8262871,-24.47660478,-1.012854438,-6.390634777,-12.75447328,-8.401615064,-22.13919255,30.56036267,31.79098941,9.886401381,-22.55183779,-0.575441536,0.575441536,-15.75400473,-31.38649372,4.568258003,42.57224044
31,-11.39847815,-36.91232737,32.88051424,30.24661271,16.41866285,-31.23498428,32.02084755,2.262571541,5.230042922,16.06706826,-29.67779231,-13.8092577,2.93859091,-15.03207118,21.8023698,-21.8023698,20.91242651,-28.86486181,25.66468953,-17.71225423
332,10.01318318,-9.973509392,25.2145979,1.161156633,8.600591906,-35.01602023,-26.62722632,-19.6730099,15.42167027,-36.37310923,41.96557362,23.85286515,-1.893937468,3.327173873,-16.19691049,16.19691049,-25.58721224,-0.132843505,-15.19823524,40.91829098
684,-1.586694247,3.99424141,4.086329675,39.08291547,-4.937699803,-40.63909251,5.673341204,18.34344691,-11.63631874,-1.432206644,-0.910404752,5.408351272,-8.489697591,-6.956511652,-40.68365879,40.68365879,-16.74057036,-23.84932534,-17.98931161,58.57920731
353,-39.6771961,13.49258352,34.0905999,8.387231014,-5.308101504,-10.98511683,-10.58356919,-7.453251203,14.25875438,21.31950269,-25.86968692,20.0179965,-9.496326226,-2.193420039,-15.7424466,15.7424466,-2.545599193,-23.24247694,8.968473795,16.81960233
183,2.3069532,-15.03656273,-0.097850566,57.01870454,-8.451258771,-35.73998568,-6.007820694,-11.16398503,-40.9876391,15.70910092,-2.178407879,10.07907321,20.89692776,13.65275081,-42.87892799,42.87892799,53.25022343,-55.37129748,10.60345834,-8.482384294
142,33.30456051,-6.048576252,-27.78712672,31.94044629,-25.96843363,-5.440870198,-1.591575389,12.6641859,9.95665728,-6.424050293,-17.10794187,-17.42176934,34.82165125,-14.89715754,13.22735074,-13.22735074,-12.72312183,10.05020838,3.723308256,-1.050394803
710,0.826214076,2.951621029,25.28715581,-3.490737484,-13.99337104,-11.58088239,2.458784466,4.095014033,-11.69257816,12.11802236,2.856697136,3.059321389,-9.044279166,-3.850982058,8.271751909,-8.271751909,-8.054674184,-22.10592412,34.06262571,-3.902027403
